Unnamed: 0,CellID,Hoechst_1,CD4,FOXP3,PD-L1,Hoechst_2,IBA1,SOX2,PD-1,CD45,Hoechst_3,CD163,PAN-CK,gH2AX,Vimentin,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,TDA
1298137,1519245,1089.1122448979593,161.1326530612245,46.19387755102041,309.7040816326531,1659.0102040816328,1285.0102040816328,145.30612244897958,194.39795918367344,51.8469387755102,1681.030612244898,626.765306122449,139.07142857142858,209.0204081632653,619.8877551020408,2139.020408163265,990.1326530612243,166.35714285714286,830.6224489795918,1566.7755102040817,401.1530612244898,74.65306122448979,413.0102040816327,2085.112244897959,172.27551020408163,1160.8367346938776,1046.5,1779.0510204081634,395.05102040816325,96.53061224489797,467.7142857142857,51236.02040816326,33453.61224489796,98.0,12.768829176535837,9.786172033015813,0.6423504274458228,0.9423076923076924,0.7538461538461538,1.3235539305776116,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1298604,1519810,1195.920792079208,514.9009900990098,84.79207920792079,474.8118811881188,1556.9108910891089,5314.762376237623,156.02970297029702,282.6237623762376,62.98019801980198,1453.4752475247524,1796.6930693069307,151.92079207920793,280.009900990099,3068.8118811881186,2080.079207920792,1239.069306930693,642.4455445544554,1685.930693069307,1558.960396039604,443.7029702970297,78.38613861386139,2112.5940594059407,2131.90099009901,189.04950495049505,279.2970297029703,201.14851485148515,1988.722772277228,683.3069306930693,829.5643564356436,340.26732673267327,51432.40594059406,32237.67326732673,101.0,11.896792872770652,10.835533026311778,0.4128600898284275,0.926605504587156,0.7651515151515151,-1.170971290821006,HNSCC_7,HN,1,HNSCC_7,B cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1299038,1520335,871.5177304964539,140.18439716312056,58.91489361702128,352.3829787234043,1371.6879432624114,2264.0921985815603,125.5390070921986,192.5177304964539,51.312056737588655,1551.4609929078017,848.2765957446809,136.80141843971631,258.9929078014184,2095.744680851064,1835.7943262411347,898.7943262411347,145.89361702127658,455.0992907801418,1312.957446808511,383.5390070921986,70.24113475177305,379.12056737588654,1757.9929078014184,156.5886524822695,388.5035460992908,185.56028368794327,1441.5035460992908,417.7659574468085,132.18439716312056,254.09929078014184,51849.41843971631,32237.113475177302,141.0,14.663066288171436,12.603097090225493,0.5111137702139392,0.9215686274509804,0.6714285714285714,1.2263991944958168,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1299320,1520674,1396.9932432432431,149.23648648648648,48.62162162162162,343.18243243243245,2323.425675675676,1394.391891891892,145.6283783783784,195.27702702702703,49.54054054054054,3149.310810810811,756.5,133.78378378378378,260.5472972972973,1081.6824324324325,3086.7635135135133,796.0337837837837,109.14864864864865,478.9527027027027,2317.4054054054054,433.0,78.46621621621621,216.6824324324324,3261.9662162162163,176.85135135135135,807.6081081081081,511.44594594594594,2244.1554054054054,396.0405405405405,78.1554054054054,440.10135135135135,51085.7027027027,32949.64864864865,148.0,16.633671962763266,12.343583522882987,0.6703067845628379,0.8604651162790697,0.6166666666666667,-1.267824804844727,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1301125,1522862,892.1369863013699,90.1027397260274,51.78767123287671,376.13698630136986,1240.2876712328766,3700.0890410958905,138.9794520547945,194.6780821917808,50.465753424657535,1561.5068493150684,994.4383561643835,129.34246575342465,257.8835616438356,1921.958904109589,1525.1917808219175,846.027397260274,140.9931506849315,394.63698630136986,1157.835616438356,386.17123287671234,71.93835616438356,199.76712328767124,1581.9041095890411,157.33561643835617,111.56164383561644,2437.0890410958905,1102.13698630137,378.0890410958904,222.08219178082192,276.958904109589,51295.30136986302,32451.34931506849,146.0,20.22338526114018,9.233255504608772,0.8896909314063659,0.929936305732484,0.6239316239316239,1.055549659445774,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1302646,1524721,1191.9831223628692,353.47257383966246,101.48101265822784,426.9367088607595,1213.8649789029537,2348.396624472574,168.34599156118142,198.40506329113924,50.75949367088607,1498.649789029536,1191.042194092827,152.9789029535865,269.4767932489452,2071.2109704641352,1555.8818565400843,841.1856540084389,107.83966244725738,476.7637130801688,1133.4177215189873,424.831223628692,90.46413502109704,317.61603375527426,1532.9240506329113,176.0379746835443,174.32489451476792,1212.42194092827,1064.2447257383967,392.63291139240505,373.0675105485232,298.53586497890296,50997.16455696202,33160.99156118144,237.0,20.05228947356424,15.071236499563584,0.6596228148223425,0.9673469387755104,0.79,0.1336850920203671,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1304374,1526810,1192.0091743119267,119.86238532110092,50.21559633027523,305.6559633027523,1897.545871559633,1845.4357798165136,148.42201834862385,182.92201834862385,49.37155963302752,2485.9174311926604,1022.8256880733944,124.81651376146787,239.23394495412845,685.1422018348624,2424.761467889908,754.7798165137615,113.29816513761467,394.6422018348624,1744.1788990825687,426.70642201834863,77.1559633027523,414.8302752293578,2266.2201834862385,153.12385321100916,438.3577981651376,317.697247706422,1654.1788990825687,385.7385321100917,130.8302752293578,241.4862385321101,51903.6743119266,33652.00458715596,218.0,20.485785548367,15.527195685384658,0.6523129634930481,0.8320610687022901,0.6374269005847953,0.7946217708781825,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1305010,1527581,963.0947368421052,156.16842105263157,95.53684210526316,425.69473684210527,1380.6736842105263,2847.442105263158,142.02105263157895,238.21052631578948,53.73684210526316,1431.6947368421052,1020.5684210526316,155.2421052631579,288.2526315789474,3691.8315789473686,1847.7368421052631,1174.3473684210526,155.96842105263158,471.8,1301.9473684210527,419.42105263157896,69.11578947368422,289.06315789473683,1841.0736842105264,170.97894736842105,228.7894736842105,4047.1894736842105,1582.2421052631578,577.6,414.7157894736842,261.0842105263158,51772.6,32332.736842105263,95.0,12.819473414849185,9.478697152242242,0.6732682370888574,0.9895833333333334,0.7851239669421488,-0.8039179105228632,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1305465,1528145,1017.6091954022988,171.45977011494253,48.97701149425287,365.0114942528736,1746.735632183908,2513.7816091954023,134.7471264367816,190.04597701149424,52.58620689655172,2017.0229885057472,1230.1149425287356,144.17241379310346,274.67816091954023,2473.206896551724,1870.3908045977007,908.9655172413792,117.63218390804596,391.367816091954,1545.6091954022988,409.7701149425287,68.29885057471265,693.0689655172414,1993.6896551724133,161.816091954023,1268.1494252873565,1072.5862068965516,1514.287356321839,391.81609195402297,364.0114942528736,244.7471264367816,51839.2183908046,32369.56321839081,87.0,11.787760909923549,9.460919158137724,0.5965104884408854,0.925531914893617,0.725,1.1923687129675684,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1305729,1528477,2441.9308755760367,456.9907834101383,144.24884792626727,459.2350230414747,5055.069124423963,2016.336405529954,196.0184331797235,197.40092165898616,50.12442396313364,3899.290322580645,883.2626728110599,136.74654377880185,267.57142857142856,1467.336405529954,4264.368663594471,1145.852534562212,121.83410138248848,560.9308755760369,4456.663594470047,604.9493087557604,92.83870967741936,146.91244239631337,3502.8801843317974,203.9354838709677,165.78341013824885,2880.9815668202764,1351.2718894009215,460.1705069124424,363.036866359447,339.4700460829493,51812.41935483871,32658.769585253456,217.0,25.63423367262779,10.987081532232954,0.9034897421082564,0.9273504273504274,0.62,-1.1875403630353598,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
