Unnamed: 0,CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
12392,14162,15878.5033112583,158.894039735099,82.5562913907285,607.850993377483,205.480132450331,4860.35761589404,405.109271523179,176.152317880795,950.708609271523,6838.04635761589,404.317880794702,181.85761589404,952.437086092715,4096.17549668874,460.854304635762,139.917218543046,1056.93046357616,3695.70860927152,665.569536423841,421.711920529801,968.168874172185,3276.61920529801,220.791390728477,2864.96026490066,1307.64900662252,1504.84437086093,346.35761589404,139.241721854305,1019.41059602649,422.784768211921,12215.582781457,10079.8476821192,302,24.8520299607641,15.6362328332801,0.77726507869529,0.952681388012618,0.691075514874142,-1.10261350926791,FAHNSCC_15,HN,1,FAHNSCC_15,stromal cells,,carcinoma_in_situ_FAHNSCC_15_1
12412,14185,3725.75977653631,79.9888268156425,45.8798882681564,594.796089385475,12.4301675977654,1161.0251396648,244.505586592179,152.891061452514,937.821229050279,2066.55865921788,256.159217877095,708.217877094972,956.5,1411.28491620112,337.734636871508,110.209497206704,930.768156424581,1489.40223463687,1308.69832402235,394.385474860335,968.09217877095,1236.27932960894,217.991620111732,654.030726256983,577.086592178771,833.033519553073,229.125698324022,103.474860335196,970.986033519553,409.527932960894,11231.7737430168,9490.62011173184,358,23.6478789431546,19.3068860679638,0.577441531784804,0.967567567567568,0.778260869565217,-0.5015051512326,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
12424,14197,6475.95319148936,129.365957446809,55.2127659574468,596.827659574468,16.3659574468085,1615.31276595745,490.734042553192,218.446808510638,944.43829787234,2474.87021276596,386.187234042553,1238.24255319149,964.906382978723,1611.14893617021,371.968085106383,149.036170212766,1049.02765957447,1410.2914893617,1854.37021276596,406.210638297872,988.523404255319,940.693617021277,235.412765957447,3455.8,576.306382978723,735.944680851064,261.710638297872,111.810638297872,999.712765957447,413.274468085106,12446.029787234,9775.37659574468,470,29.1073855931868,20.6961841152155,0.70316307225143,0.969072164948454,0.77175697865353,0.0551057730704348,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
12493,14272,20509.3217054264,155.263565891473,65.937984496124,607.825581395349,115.860465116279,6365.25581395349,436.131782945736,189.883720930233,950.658914728682,9000.07364341085,451.852713178295,170.333333333333,962.682170542636,7511.57751937985,447.003875968992,153.468992248062,1082.47286821705,6049.27906976744,729.899224806202,432.550387596899,980.03488372093,5833.46899224806,260.856589147287,11810.9457364341,1344.76744186047,2027.04263565891,402.996124031008,133.209302325581,1066.31395348837,430.457364341085,11925.4612403101,10185.2868217054,258,20.299662722254,16.1967690382669,0.602811477164452,0.969924812030075,0.80625,-1.268058157911,FAHNSCC_15,HN,1,FAHNSCC_15,stromal cells,,carcinoma_in_situ_FAHNSCC_15_1
12526,14307,8398.86138613862,148.705445544554,67.3118811881188,606.844059405941,15.9529702970297,2291.49504950495,449.230198019802,227.841584158416,951.524752475248,3359.80940594059,422.806930693069,663.930693069307,1031.69306930693,2365.23514851485,384.032178217822,135.688118811881,1133.56683168317,1833.58910891089,1140.06435643564,400.00495049505,965.79702970297,1268.35643564356,388.95297029703,2170.2202970297,582.457920792079,815.123762376238,276.220297029703,120.80198019802,1021.69801980198,410.995049504951,12726.5495049505,9170.91336633663,404,25.8346735268741,19.9259631892197,0.636486800466787,0.971153846153846,0.776923076923077,0.289034539601983,FAHNSCC_15,HN,1,FAHNSCC_15,tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
12547,14329,15708.81640625,257.9609375,95.13671875,603.0625,145.95703125,3888.55859375,744.12890625,203.9609375,947.6015625,5766.87890625,434.7578125,159.50390625,949.58984375,3582.96875,625.86328125,418.84375,962.46484375,3237.0234375,534.0703125,393.40625,956.0078125,2693.0859375,255.45703125,1282.12109375,613.53515625,1562.4921875,337.80859375,224.56640625,1015.48828125,415.39453125,13015.26171875,9297.49609375,256,23.0320696135166,14.2430712246999,0.785862154299195,0.966037735849057,0.795031055900621,-0.0176003876629196,FAHNSCC_15,HN,1,FAHNSCC_15,stromal cells,,carcinoma_in_situ_FAHNSCC_15_1
12593,14384,27020.8375,403.616666666667,111.6625,612.258333333333,214.179166666667,7127.71666666667,797.733333333333,256.141666666667,975.979166666667,10532.3916666667,663.229166666667,194.320833333333,953.466666666667,7534.41666666667,556.55,181.408333333333,1143.41666666667,6978.7375,758.45,442.308333333333,964.683333333333,6891.78333333333,325.683333333333,7331.1625,1324.3,2362.05,442.4375,146.0625,1056.00416666667,427.0625,12872.5625,9585.95,240,19.5890747706524,15.5916318248965,0.605381983521112,0.97165991902834,0.784313725490196,-0.907896117967348,FAHNSCC_15,HN,1,FAHNSCC_15,stromal cells,,carcinoma_in_situ_FAHNSCC_15_1
12610,14402,3181.98220640569,148.345195729537,72.8932384341637,603.128113879004,12.4128113879004,1060.41992882562,313.733096085409,163.380782918149,940.309608540925,1860.4128113879,311.925266903915,1427.02135231317,959.217081850534,1502.27046263345,351.02846975089,114.583629893238,965.526690391459,1609.07117437722,1452.2846975089,407.690391459075,963.861209964413,1431.42704626335,1236.34163701068,950.106761565837,574.270462633452,1143.51245551601,295.170818505338,114.88256227758,992.669039145908,416.131672597865,11325.0533807829,9260.12099644128,281,19.2225801766839,18.6255224329186,0.24729682635721,0.968965517241379,0.778393351800554,0.425401961730099,FAHNSCC_15,HN,1,FAHNSCC_15,Ki67+ tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
12615,14409,4977.30201342282,110.822147651007,62.7013422818792,606.802013422819,49.3791946308725,1345.87248322148,471.570469798658,178.523489932886,960.862416107382,2246.4932885906,352.651006711409,2104.74161073826,1015.07718120805,1662.82214765101,432.201342281879,122.963087248322,993.852348993289,1773.59395973154,1515.07382550336,411.775167785235,981.446308724832,1575.02013422819,1672.29530201342,1769.89932885906,575.395973154362,1259.24496644295,305.996644295302,116.157718120805,998.812080536913,416.590604026846,11450.1275167785,8967.22147651007,298,20.9556761023106,18.1175100751545,0.502523799498895,0.958199356913183,0.7468671679198,0.0278941682433004,FAHNSCC_15,HN,1,FAHNSCC_15,Ki67+ tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
12624,14423,5478.85215053764,124.677419354839,65.8091397849462,602.814516129032,13.9435483870968,1560.05107526882,388.123655913979,185.252688172043,946.193548387097,2666.45698924731,362.529569892473,1186.38978494624,984.739247311828,2222.92204301075,353.827956989247,119.564516129032,998.86559139785,2108.63440860215,1718.7876344086,410.118279569893,959.153225806452,1752.0,1721.59139784946,1954.23924731183,575.569892473118,1194.06720430108,298.370967741936,117.836021505376,1012.7876344086,419.088709677419,12429.435483871,9207.95698924731,372,23.6628722543746,20.0218756960373,0.532975925232816,0.96875,0.805194805194805,0.962715391382491,FAHNSCC_15,HN,1,FAHNSCC_15,Ki67+ tumor cells,,carcinoma_in_situ_FAHNSCC_15_1
