CellID,X_centroid,Y_centroid,phenotype_key
26604,38712.0141700405,27192.6295546559,Ki67+ tumor cells
26688,38204.1887323944,28481.8338028169,effector CD8+ T cells
26758,38904.456281407,27812.9085427136,tumor cells
27110,38482.9176788124,27547.5141700405,tumor cells
27576,39220.6374795417,27826.1423895254,Ki67+ tumor cells
27664,38299.0557377049,28411.9360655738,tumor cells
27843,38990.9829268293,28678.5878048781,Ki67+ tumor cells
27894,39216.2257597685,27710.0477568741,M1/M0 macrophages
28770,38881.9083333333,27989.9166666667,tumor cells
29037,38512.5493716338,28323.2621184919,tumor cells
29086,38946.5010245902,28508.7520491803,Ki67+ tumor cells
29508,38021.755351682,28203.7217125382,tumor cells
29631,38331.6660039761,27492.2862823062,tumor cells
30284,38810.4287330317,28404.1368778281,Ki67+ tumor cells
30457,39411.8959537572,27986.7369942197,tumor cells
30945,38609.879338843,28640.6842975207,tumor cells
30984,38144.6730038023,28137.252851711,tumor cells
31227,38519.4432348367,27535.0793157076,tumor cells
31646,38486.618556701,27658.2076583211,Ki67+ tumor cells
31887,38852.2810945274,28682.6815920398,tumor cells
32023,38504.1447876448,27223.11003861,M1/M0 macrophages
32846,38077.3676975945,27525.4994272623,tumor cells
32926,38714.9212707182,27849.0110497238,tumor cells
32994,38654.7573333333,27932.8346666667,tumor cells
33051,38333.8469184891,28608.8011928429,tumor cells
33166,38921.1274725275,27635.3956043956,CD4+ T cells
33180,39064.6160602258,28336.7578419072,Ki67+ tumor cells
33443,38084.1279707495,28534.0676416819,tumor cells
33720,39383.0648769575,27966.8456375839,tumor cells
34172,38267.8923076923,27357.7664335664,Ki67+ tumor cells
34173,38224.5108303249,28083.678700361,tumor cells
34262,38403.4940796555,28450.6792249731,tumor cells
34379,38754.5,27855.9845758355,tumor cells
34456,38107.0718309859,28301.3211267606,tumor cells
34533,38785.6110260337,27214.3124042879,tumor cells
34943,38094.5446808511,28256.3468085106,tumor cells
35022,38628.3530106257,28619.1404958678,tumor cells
35429,38288.6477987421,28078.786163522,tumor cells
35741,38247.6091954023,27911.6387520525,tumor cells
36993,37943.6080827068,28253.8778195489,tumor cells
37176,38553.5028089888,28501.9550561798,tumor cells
37667,38013.2209026128,28178.9382422803,tumor cells
37690,39190.8259259259,27740.4907407407,tumor cells
37717,38336.7972972973,28520.7405405405,tumor cells
37776,38847.8070652174,28246.5611413043,effector CD8+ T cells
37892,39232.0701754386,27488.9929824561,tumor cells
38047,38884.3460869565,28553.4330434783,tumor cells
38262,38860.9113513514,28715.5675675676,Ki67+ tumor cells
38361,38336.0414746544,27797.5829493088,tumor cells
38981,38069.8665377176,28278.5976789168,tumor cells
39125,38812.6784313726,27795.3045751634,tumor cells
39142,38215.1985611511,28640.2474820144,tumor cells
39296,39256.8169811321,27640.3056603774,tumor cells
39448,39374.5960264901,28049.7880794702,tumor cells
39579,38551.1759465479,27389.3763919822,tumor cells
39795,39022.8512396694,28236.1208677686,Ki67+ tumor cells
40028,37924.3524590164,28193.2540983607,tumor cells
40269,38091.8773722628,27847.494890511,tumor cells
40476,38665.1147826087,28258.2591304348,Ki67+ tumor cells
40961,38506.2255389718,28467.192371476,effector CD8+ T cells
41048,39152.7534482759,27812.5431034483,tumor cells
42036,38072.8514851485,28561.1471004243,effector CD8+ T cells
42185,39349.849689441,27944.7378881988,tumor cells
42198,38319.3,27971.5923076923,tumor cells
42262,38037.4615384615,28261.2612942613,tumor cells
42299,39285.5893108298,28110.6230661041,Ki67+ tumor cells
42529,39315.5340501792,27693.9641577061,tumor cells
43027,38276.2,27987.4020618557,effector CD8+ T cells
43087,38714.9494505495,28807.156043956,Ki67+ tumor cells
43205,38073.4363636364,27684.6818181818,tumor cells
43291,38640.5160857909,28041.009383378,Ki67+ tumor cells
43321,38479.7489495798,27768.9180672269,Ki67+ tumor cells
43356,37846.0334507042,28198.4524647887,tumor cells
43370,38136.5831873905,27772.2066549912,tumor cells
43455,38747.1759036145,28743.9469879518,Ki67+ tumor cells
43550,38320.1486238532,28222.9577981651,tumor cells
43691,38083.9913344887,28013.9601386482,effector CD8+ T cells
43767,39180.6041666667,27531.2430555556,tumor cells
44270,38390.581043956,27629.6346153846,tumor cells
44589,37971.2586466166,28248.5203007519,tumor cells
44893,38062.338028169,27869.6455399061,tumor cells
44993,39153.4247191011,28465.795505618,tumor cells
45279,37920.6464208243,28441.8069414317,tumor cells
45640,38176.0995907231,28533.9304229195,tumor cells
