CellID,X_centroid,Y_centroid,phenotype_key
250321,25697.2105263158,12613.2857142857,M2 macrophages
250500,26125.8705583756,13544.4263959391,regulatory T cells
251244,25762.8394495413,13549.752293578,endothelial cells
251346,25981.3029315961,13466.1009771987,memory CD4+ T cells
253088,25644.5,12727.9433962264,dendritic cells
253220,25593.9033018868,13295.75,B cells
254329,25881.501754386,12914.750877193,memory CD4+ T cells
254338,26040.8695652174,12785.7572463768,B cells
254472,25726.0528455285,12900.756097561,memory CD4+ T cells
254912,25667.6923076923,13469.1015384615,B cells
256344,26108.5308056872,13477.7867298578,memory CD4+ T cells
258233,25534.36875,13065.95625,memory CD8+ T cells
258379,26243.2640586797,13049.3594132029,dendritic cells
258407,25775.3598484848,13242.9696969697,B cells
261400,25815.9036144578,13366.3574297189,B cells
262502,26252.1573033708,12556.5168539326,memory CD4+ T cells
262715,25439.2969432314,13092.3930131004,dendritic cells
263340,26364.7644444444,13078.5733333333,B cells
264103,25971.1924882629,13426.3098591549,B cells
264363,25603.531120332,13410.1244813278,B cells
264746,26125.1132075472,13472.6163522013,memory CD4+ T cells
265719,26302.7389705882,13196.0845588235,M2 macrophages
265766,25490.701863354,12805.2236024845,B cells
266229,25833.358974359,13439.2019230769,memory CD4+ T cells
268247,26066.8979591837,13418.5772594752,regulatory T cells
269488,25849.062283737,13315.5224913495,memory CD4+ T cells
270770,25646.2511210762,12996.5022421525,memory CD8+ T cells
271317,25813.7131979695,13462.0456852792,memory CD4+ T cells
273068,25722.118852459,12955.0983606557,endothelial cells
273223,26088.0606060606,12996.2813852814,B cells
273879,26287.7878787879,12880.3703703704,memory CD8+ T cells
273971,25893.9348534202,13121.1856677524,B cells
274438,25798.2429667519,13445.5728900256,memory CD4+ T cells
274904,25839.2742382271,13333.6842105263,dendritic cells
275155,25983.4695121951,12708.8567073171,B cells
275409,25963.472,12957.168,memory CD8+ T cells
275734,25999.5261627907,12945.8226744186,B cells
276887,26494.1947194719,12908.702970297,M2 macrophages
278439,26478.7819548872,12916.2293233083,B cells
278527,26466.3041237113,13036.2835051546,memory CD4+ T cells
281793,26256.9172661871,13243.9784172662,B cells
282005,26120.6553398058,13447.6601941748,memory CD4+ T cells
283437,26031.4,12688.3222222222,endothelial cells
283738,26200.3576388889,13158.9131944444,memory CD8+ T cells
284451,25424.9945652174,12930.5380434783,endothelial cells
285954,25899.6618075802,12517.6851311953,M2 macrophages
287241,25947.6902173913,12733.0217391304,B cells
287276,25937.6585365854,13116.5268292683,memory CD4+ T cells
287553,25560.5075376884,12930.3618090452,memory CD4+ T cells
287767,26258.3191489362,12526.7517730496,tumor cells
