CellID,X_centroid,Y_centroid,phenotype_key
3579,2786.2364532019706,5275.484400656815,tumor cells
3613,3381.58371040724,4768.013574660634,endothelial cells
3649,2274.490099009901,4415.762376237623,other APCs
3657,2703.443914081145,4745.966587112172,other APCs
3701,2681.3793706293704,4803.506993006993,tumor cells
3784,2821.5301204819275,4728.030120481928,M2 macrophages
3820,3094.824858757062,5147.9717514124295,M1/M0 macrophages
3853,3007.409090909091,5501.808441558442,M1/M0 macrophages
3898,3021.7166666666667,5132.922916666666,M1/M0 macrophages
3971,2662.710875331565,4749.16976127321,tumor cells
3990,2860.0444444444443,4311.864814814815,Ki67+ tumor cells
4149,2393.695464362851,4464.179265658748,other APCs
4205,2752.654958677686,5212.107438016529,Ki67+ tumor cells
4234,2756.7830188679245,4926.606132075472,tumor cells
4237,3207.2716981132075,4696.633962264151,M2 macrophages
4245,2487.184563758389,4514.845637583892,other APCs
4276,3223.473867595819,5226.641114982578,M2 macrophages
4336,2498.811940298508,4488.435820895523,other APCs
4352,2816.302267002519,5313.617128463476,CD4+ T cells
4485,3290.991279069768,4896.805232558139,regulatory T cells
4565,3117.207650273224,4792.76320582878,Ki67+ tumor cells
4567,2357.544021024967,4397.618922470434,tumor cells
4600,3232.6660268714013,5174.796545105566,M1/M0 macrophages
4639,3027.214168039539,4786.0708401976935,Ki67+ tumor cells
4664,2866.4246575342468,5091.186301369863,CD4+ T cells
4688,2637.5444444444443,5206.351111111111,M1/M0 macrophages
4767,2902.570652173913,4265.611413043478,dendritic cells
4821,3264.396825396825,4666.851851851852,M2 macrophages
4827,2993.855140186916,4896.315420560748,M1/M0 macrophages
4880,2935.3826086956524,4966.407246376812,Ki67+ tumor cells
4899,3186.59477124183,4856.786492374728,Ki67+ tumor cells
4929,2771.705329153605,4501.9278996865205,M1/M0 macrophages
4934,2819.532041728763,5097.792846497765,dendritic cells
5010,2732.62613430127,4962.705989110707,tumor cells
5030,2425.5607476635514,4291.35046728972,Ki67+ tumor cells
5044,2281.0026525198937,4740.395225464191,tumor cells
5109,2649.144032921811,4425.362139917696,other APCs
5237,2642.176848874598,4314.836012861736,dendritic cells
5238,2664.3928571428573,4579.55462184874,other APCs
5241,2312.618081180812,4956.062730627306,tumor cells
5250,2800.677559912854,4933.7908496732025,tumor cells
